Level,Object Index,Type,X Macro,X Micro,Y Macro,Y Micro,Flags,Params,Tiles Normal,Tiles Reversed
EEZ1,15,38,B0,0B,6E,03,00,01,72,72
EEZ1,16,17,10,05,DE,02,00,02,B2,B2
EEZ1,17,17,10,0C,DE,01,00,02,B2,B2
EEZ1,18,18,80,10,AE,02,00,00,00,00
EEZ1,19,FF,28,90,02,70,02,00,0A,6A
EEZ2,0,28,90,02,70,02,00,0A,6A,0B
EEZ2,1,28,10,0D,40,04,00,05,6A,10
EEZ2,2,28,D0,0E,20,03,00,05,6A,08
EEZ2,3,26,10,0D,E0,04,00,00,9E,9E
EEZ2,4,26,10,06,40,03,00,92,9E,00
EEZ2,5,10,70,01,8E,04,00,06,00,00
EEZ2,6,10,30,03,6E,04,00,04,00,00
EEZ2,7,10,D0,09,8E,04,00,02,00,00
EEZ2,8,17,F0,03,3E,02,00,02,B2,B2
EEZ2,9,17,70,0B,9E,03,00,02,B2,B2
EEZ2,10,36,D0,03,7A,01,00,0E,7C,7C
EEZ2,11,36,F0,04,7A,01,00,0E,7C,7C
EEZ2,12,36,10,06,7A,01,00,0E,7C,7C
EEZ2,13,36,30,07,7A,01,00,0E,7C,7C
EEZ2,14,36,70,09,FA,02,00,0A,7C,7C
EEZ2,15,36,30,0A,FA,02,00,0A,7C,7C
EEZ2,16,2C,30,04,30,04,00,00,94,94
EEZ2,17,2C,10,07,70,04,00,00,94,94
EEZ2,18,2C,B0,03,30,03,00,01,94,94
EEZ2,19,2C,B0,03,50,03,00,01,94,94
EEZ2,20,2C,90,03,50,03,00,01,94,94
EEZ2,21,2C,D0,03,30,03,00,01,94,94
EEZ2,22,2C,D0,05,70,02,00,01,94,94
EEZ2,23,2C,D0,06,70,02,00,01,94,94
EEZ2,24,38,D0,04,AE,01,00,00,72,72
EEZ2,25,38,10,07,AE,01,00,00,72,72
EEZ2,26,38,B0,08,2E,03,00,00,72,72
EEZ2,27,38,20,0A,2E,03,00,00,72,72
EEZ2,28,09,E8,02,2C,02,00,01,00,00
EEZ2,29,09,08,03,2C,02,00,01,00,00
EEZ2,30,09,28,03,2C,02,00,01,00,00
EEZ2,31,09,48,03,2C,02,00,01,00,00
EEZ2,32,09,68,03,2C,02,00,01,00,00
EEZ2,33,09,88,03,2C,02,00,01,00,00
EEZ2,34,18,80,10,6E,02,00,00,00,00
EEZ2,35,FF,28,10,04,F0,03,00,83,6A
EEZ3,0,28,10,04,F0,03,00,83,6A,00
EEZ3,1,28,50,07,30,04,00,05,6A,11
EEZ3,2,17,10,02,3E,02,00,02,B2,B2
EEZ3,3,5E,20,09,EE,02,00,00,00,00
EEZ3,4,60,A0,0A,EE,02,00,00,00,00
EEZ3,5,FF,1F,20,03,1E,01,00,00,6A
